Annotee-Identifier	Human-Readable-Description
OG0012525	unknown sequence family
OG0004116	calnexin 00147
OG0004574	aldehyde dehydrogenase
OG0005843	inactive ubiquitin carboxyl terminal hydrolase
OG0009310	2 3 amino carboxypropyl histidine synthase subunit
OG0007071	type 2a phosphatase activator tip
OG0010439	protein shisa
OG0003973	unknown sequence family
OG0003291	activated rna polymerase ii transcriptional coactivator p15
OG0010842	nucleotide triphosphate diphosphatase nudt
OG0008989	upf protein c8orf82
OG0010151	pre mrna processing factor
OG0013039	ras association domain containing protein
OG0008100	mitochondrial inner membrane protease atp
OG0004273	vacuolar protein sorting associated
OG0008265	interleukin receptor accessory protein 1
OG0013475	selenoprotein f
OG0009731	ph and sec domain containing protein
OG0000570	mob kinase activator
OG0003063	ubiquitin thioesterase otub
OG0001590	transcription factor hes
OG0004641	neurotensin neuromedin n
OG0013752	guanylyl cyclase activating protein
OG0012230	gtp cyclohydrolase feedback regulatory protein
OG0013905	spermatogenesis associated protein
OG0012063	carbohydrate sulfotransferase
OG0013377	olfactory receptor 5ap2
OG0007021	nonsense mediated mrna decay factor smg
OG0002550	insulin
OG0004992	protein fuzzy
OG0012206	rho gtpase activating protein 21
OG0008015	nuclear apoptosis inducing factor
OG0010360	ataxin protein
OG0004419	membrane associated progesterone receptor component
OG0011926	kinesin protein kin
OG0002210	krueppel factor
OG0002200	chloride channel protein clc
OG0001523	family associated protein
OG0004600	tachykinin
OG0003233	peroxisomal membrane protein pex
OG0010121	transmembrane protein
OG0014304	class 2 transcription factor
OG0011538	cap gly domain containing linker protein
OG0001531	low density lipoprotein receptor protein
OG0009360	cilia and flagella associated protein
OG0000095	kallikrein peptidase
OG0002797	divalent cation tolerance protein cuta
OG0006145	guanylate cyclase soluble subunit
OG0009019	exocyst complex component
OG0010573	dual specificity calcium calmodulin dependent 3 5 cyclic nucleotide phosphodiesterase
OG0008380	glycoprotein 2 beta n acetylglucosaminyltransferase
OG0010572	canal kelch protein
OG0000947	mitogen activated protein kinase 13
OG0010342	class e basic helix loop protein
OG0005303	leucine trna ligase
OG0005216	atp dependent zinc metalloprotease ftsh 11
OG0000034	large ribosomal subunit protein el
OG0007083	zinc finger protein
OG0006051	cell adhesion molecule down regulated by oncogenes
OG0000149	inactive serine protease
OG0014792	acyl coa delta 11 desaturase
OG0006673	cdp diacylglycerol inositol 3 phosphatidyltransferase
OG0008269	e3 ubiquitin protein ligase rnf
OG0004806	f box only protein 5
OG0004274	2 5 oligoadenylate synthase protein
OG0006901	rab gtpase activating protein tbc
OG0003163	protein kash
OG0011917	wash complex subunit
OG0007995	n terminal xaa pro lys methyltransferase 1
OG0006306	sterile alpha motif domain containing protein
OG0000477	olfactory receptor
OG0009165	protein c mannosyl transferase
OG0002442	protein fam24a
OG0005872	glutamate dehydrogenase 1 mitochondrial
OG0007905	2 3 amino carboxypropyl histidine synthase subunit
OG0012914	unknown sequence family
OG0011415	neurofilament light polypeptide
OG0012766	unknown sequence family
OG0008776	collagen alpha chain
OG0008294	prolyl endopeptidase
OG0001424	protein fam184b
OG0012273	ubiquitin carboxyl terminal hydrolase
OG0006315	tubulin polyglutamylase ttll
OG0002109	c chemokine receptor protein
OG0000425	keratin type i cytoskeletal
OG0009805	zinc finger protein
OG0012844	protein reprimo
OG0010718	ankyrin repeat domain containing protein
OG0004869	ras protein rab 8a
OG0014832	gamma aminobutyric acid receptor subunit
OG0006911	volume regulated anion channel subunit
OG0005455	ubiquitin carboxyl terminal hydrolase 12
OG0003201	nucleolar gtp binding protein
OG0001151	nut family member
OG0004436	sterol regulatory element binding protein
OG0015200	c motif chemokine
OG0004473	zinc finger and btb domain containing protein 2
OG0009909	rad interacting protein
OG0003268	calcium uptake protein 1 mitochondrial
OG0014395	selection and upkeep of intraepithelial t cells protein
OG0013488	interleukin
OG0012878	low density lipoprotein receptor protein
OG0005626	treslin
OG0013193	protein serine o palmitoleoyltransferase porcupine
OG0013286	thylakoid adp atp carrier protein
OG0014118	retinal rhodopsin sensitive cgmp 3 5 cyclic phosphodiesterase subunit gamma
OG0001580	dynein light chain tctex type 5
OG0014330	unknown sequence family
OG0001549	maestro heat repeat containing protein family member
OG0001463	basic phospholipase a2 pla b
OG0013348	cytochrome p450
OG0012173	cadherin
OG0009857	protein wnt
OG0000454	forkhead box protein o1
OG0000564	transmembrane protein
OG0006189	neuralized protein
OG0004526	photoreceptor cilium actin regulator
OG0007285	g type receptor serine threonine protein kinase
OG0005739	ethylmalonyl coa methylmalonyl epimerase
OG0002567	h 2 class i histocompatibility antigen 37 alpha chain
OG0001513	protein kish
OG0004541	triggering receptor expressed on myeloid cells
OG0010826	tumor necrosis factor ligand superfamily member
OG0002501	zinc finger protein
OG0009695	dual e2 ubiquitin conjugating enzyme protein
OG0008418	kinesin protein kif3c
OG0012408	claudin protein
OG0004935	paternally expressed gene protein
OG0000628	nhs protein
OG0002451	deoxyuridine 5 triphosphate nucleotidohydrolase
OG0007395	bifunctional lysine specific demethylase and histidyl hydroxylase no
OG0001579	ras protein rap
OG0001647	c jun amino terminal kinase interacting protein
OG0012559	cilia and flagella associated protein
OG0007108	epoxide hydrolase
OG0000468	sodium potassium transporting atpase subunit beta
OG0004047	serine threonine protein kinase dclk
OG0000637	inositol 1 4 5 trisphosphate receptor
OG0003824	arginine vasopressin induced protein
OG0014251	spermatogenesis associated protein
OG0014450	taste receptor type member
OG0005564	adhesion g protein coupled receptor
OG0008353	protein tex
OG0011468	protein phosphatase 2c
OG0001436	ninjurin
OG0008351	v type proton atpase subunit b
OG0011172	tumor protein p53 inducible nuclear
OG0012059	l seryl trna sec kinase
OG0008663	selection and upkeep of intraepithelial t cells protein
OG0008066	interleukin receptor associated kinase
OG0000870	inter alpha trypsin inhibitor heavy chain
OG0001989	polyadenylate binding protein cytoplasmic and nuclear
OG0001775	lim homeobox protein lhx
OG0010365	receptor type tyrosine protein phosphatase
OG0009226	peptidyl prolyl cis trans isomerase
OG0013919	polypeptide n acetylgalactosaminyltransferase
OG0010202	mki fha domain interacting nucleolar phosphoprotein
OG0002247	ral guanine nucleotide dissociation stimulator
OG0001904	type phosphatidylinositol 4 5 bisphosphate phosphatase
OG0007521	suppressor apc domain containing protein
OG0012432	chromatin assembly factor subunit b
OG0008887	neuropeptide y receptor type
OG0004629	lens fiber major intrinsic protein
OG0014960	btb poz domain containing protein kctd
OG0001102	platelet glycoprotein
OG0002431	e3 ubiquitin protein ligase sh3rf1
OG0007816	protein phosphatase 2c
OG0004387	type iodothyronine deiodinase
OG0010437	atr interacting protein
OG0003654	pr domain zinc finger protein
OG0008574	zinc finger protein
OG0013194	tbc domain family member
OG0002377	acyl coa 8 3 desaturase
OG0009158	protein phosphatase regulatory subunit
OG0004724	zinc finger y chromosomal protein
OG0012470	gdp fucose protein o fucosyltransferase
OG0008292	cytoplasmic dynein light intermediate chain
OG0008720	large ribosomal subunit protein ul
OG0005317	nadh dehydrogenase [ubiquinone] alpha subcomplex assembly factor
OG0009727	zinc finger ccch domain containing protein
OG0009556	inactive tyrosine protein kinase
OG0001867	2 iminobutanoate iminopropanoate deaminase
OG0000890	homeobox protein unc
OG0005656	fumarylacetoacetase
OG0014920	unknown sequence family
OG0001323	steroid 17 alpha hydroxylase 20 lyase
OG0005414	cd sialomucin protein
OG0010414	calcium calmodulin dependent protein kinase type
OG0001937	protein cebpzos
OG0006519	forkhead box protein l2
OG0015085	unknown sequence family
OG0011960	unknown sequence family
OG0011810	retroelement silencing factor
OG0008029	target of rapamycin complex subunit mapkap
OG0000475	olfactory receptor
OG0005704	unknown sequence family
OG0000604	equilibrative nucleoside transporter
OG0003299	dolichyl diphosphooligosaccharide protein glycosyltransferase subunit
OG0003875	ropporin protein
OG0014233	phospholipid transporting atpase 12
OG0013013	ciliogenesis associated ttc interacting protein
OG0000615	3 oxoacyl [acyl carrier protein] reductase fabg
OG0004552	beta catenin protein
OG0013093	protein dispatched
OG0009642	lipid droplet associated hydrolase
OG0000391	olfactory receptor 10d3
OG0012728	microtubule associated protein
OG0012265	biogenesis of lysosome organelles complex subunit
OG0011410	scavenger receptor cysteine rich protein
OG0000812	succinyl coa 3 ketoacid coenzyme a transferase 1 mitochondrial
OG0013411	septin
OG0013482	sperm associated antigen 11a
OG0006229	ribonuclease z 2
OG0013347	melanoma associated antigen
OG0003501	multiple coagulation factor deficiency protein
OG0012107	v type proton atpase subunit h
OG0006545	vitamin k epoxide reductase complex subunit protein
OG0003165	stabilizer of axonemal microtubules
OG0010719	containing protein mitochondrial
OG0012108	regulator of g protein signaling
OG0003834	shadow of prion protein
OG0002390	6 phosphofructo kinase fructose bisphosphatase
OG0012388	chromodomain helicase dna binding protein
OG0007439	cancer g protein coupled receptor
OG0006689	b lymphocyte antigen cd
OG0004714	mrna decay activator protein zfp
OG0010512	vesicle transport protein use
OG0015306	olfactory receptor
OG0014052	calcium calmodulin dependent protein kinase type ii subunit gamma
OG0013789	reelin domain containing protein
OG0002562	procollagen lysine oxoglutarate 5 dioxygenase
OG0004864	sodium nucleoside cotransporter
OG0013022	keratocan
OG0007686	meiosis specific coiled coil domain containing protein meioc
OG0011588	signal peptide peptidase
OG0011198	apoptosis inducing factor blcap
OG0011522	atp dependent rrna helicase spb
OG0008754	transcription factor ap
OG0012590	leukemia nup fusion partner
OG0002819	rho gtpase activating protein 21
OG0008172	tubulin tyrosine ligase protein
OG0012269	selenocysteine insertion sequence binding protein
OG0014598	prothymosin alpha
OG0010703	v set and transmembrane domain containing protein
OG0007640	extracellular serine threonine protein kinase
OG0002260	non pou domain containing octamer binding protein
OG0012027	long chain fatty acid coa ligase
OG0010172	upf protein c4orf33
OG0003369	ribosomal l1 domain containing protein
OG0000872	ras gtpase activating protein
OG0001186	cyclin j protein
OG0003297	immunoglobulin superfamily dcc subclass member
OG0002906	g protein coupled receptor
OG0004082	disks large
OG0003139	tumor protein
OG0003562	heterogeneous nuclear ribonucleoprotein
OG0003443	rna binding protein
OG0008913	endothelial transcription factor gata
OG0012159	cyclic nucleotide binding domain containing protein
OG0000963	protocadherin x linked
OG0005473	er membrane protein complex subunit
OG0004221	natural resistance associated macrophage protein
OG0008120	leucine rich repeat containing protein
OG0012735	vacuolar protein sorting associated
OG0008399	comm domain containing protein
OG0006592	galactose o sulfotransferase
OG0002680	voltage gated potassium channel subunit beta
OG0005590	ceramide transfer protein
OG0013882	lysophosphatidylserine lipase abhd
OG0009297	4 hydroxyphenylpyruvate dioxygenase protein
OG0011192	kinetochore associated protein dsn
OG0010466	kinesin protein kin
OG0003598	serine threonine protein kinase dclk
OG0006442	transducin enhancer protein 3
OG0002935	alpha syntrophin
OG0001374	beta defensin
OG0014684	cornifin
OG0004030	lysosomal proton coupled steroid conjugate and bile acid symporter slc46a3
OG0011010	coatomer subunit beta 1
OG0008590	f box wd repeat containing protein
OG0006766	small integral membrane protein
OG0006292	tetratricopeptide repeat protein
OG0002432	bcl adenovirus e1b kda protein interacting
OG0001108	nucleophosmin
OG0002099	y box binding protein 2
OG0014128	kelch and protein
OG0013192	pre rrna 2 o rna methyltransferase
OG0011191	microtubule cross linking factor
OG0011207	protein fam83d
OG0014098	s acyl fatty acid synthase thioesterase medium chain
OG0003982	unknown sequence family
OG0007098	saccharopine dehydrogenase oxidoreductase
OG0009407	pre mrna splicing factor prp
OG0001072	homeobox protein nobox
OG0008110	wnt inhibitory factor
OG0000926	cadherin
OG0012233	pirna biogenesis protein exd
OG0010676	membralin
OG0000707	alpha actinin
OG0003456	dnaj subfamily c member
OG0000712	tensin
OG0005342	rho guanine nucleotide exchange factor
OG0004118	retinal rhodopsin sensitive cgmp 3 5 cyclic phosphodiesterase subunit gamma
OG0000787	echinoderm microtubule associated protein
OG0009697	ras guanyl releasing protein 2
OG0009676	intraflagellar transport protein
OG0014110	beta defensin
OG0009365	inhibitor of nuclear factor kappa b kinase interacting protein
OG0006942	cystathionine gamma lyase
OG0007329	ninein protein
OG0001003	unconventional myosin ic
OG0009883	protein spmip
OG0006300	intraflagellar transport protein
OG0013447	leucine rich repeat containing protein
OG0014408	palmitoyl protein thioesterase
OG0001557	ets transcription factor
OG0002311	short transmembrane mitochondrial protein
OG0007174	histone lysine n methyltransferase ash1l
OG0000239	late cornified envelope protein
OG0007065	histidine protein methyltransferase
OG0002245	cytoplasmic dynein light intermediate chain
OG0004968	cdc effector protein
OG0013664	synapse differentiation inducing gene protein
OG0009317	rrna processing protein ebp
OG0011274	proteasomal ubiquitin receptor adrm
OG0000431	leukocyte immunoglobulin receptor subfamily b member
